-67488.00  0.700  0.900  -4.000
-67458.00  0.600  1.200  -3.900
-67428.00  0.700  1.200  -4.200
-67398.00  0.200  1.500  -5.500
-67368.00  0.400  0.900  -4.800
-67338.00  0.000  0.900  -5.200
-67308.00  0.200  0.800  -3.900
-67278.00  0.300  1.100  -4.300
-67248.00  0.400  1.400  -4.700
-67218.00  0.100  1.500  -4.100
-67188.00  0.200  1.400  -4.300
-67158.00  0.200  1.500  -5.700
-67128.00  0.500  1.400  -4.800
-67098.00  0.500  1.300  -3.800
-67068.00  0.300  1.400  -4.100
-67038.00  0.300  1.300  -3.800
-67008.00  0.200  1.100  -4.200
-66978.00  -0.100  0.900  -4.400
-66948.00  -0.100  1.200  -4.900
-66918.00  0.100  1.100  -5.800
-66888.00  -0.100  1.100  -4.500
-66858.00  0.100  1.200  -4.000
-66828.00  0.200  1.200  -3.700
-66798.00  0.500  0.800  -2.500
-66768.00  0.600  0.900  -3.400
-66738.00  0.800  0.800  -3.600
-66708.00  0.900  0.800  -3.100
-66678.00  0.100  1.100  -3.400
-66648.00  0.000  1.300  -4.100
-66618.00  0.200  1.300  -4.000
-66588.00  0.100  1.700  -4.400
-66558.00  0.200  1.100  -4.200
-66528.00  0.400  1.200  -4.100
-66498.00  0.700  1.200  -3.700
-66468.00  0.400  1.000  -3.600
-66438.00  0.300  1.300  -4.700
-66408.00  0.100  1.500  -5.100
-66378.00  0.100  1.600  -4.600
-66348.00  -0.100  1.300  -4.700
-66318.00  0.500  1.400  -4.800
-66288.00  -0.100  1.800  -4.300
-66258.00  0.200  1.500  -4.200
-66228.00  0.300  1.500  -4.400
-66198.00  0.300  1.800  -4.600
-66168.00  0.100  1.700  -4.000
-66138.00  0.100  1.500  -4.100
-66108.00  0.200  1.200  -3.200
-66078.00  -0.200  1.000  -4.400
-66048.00  -0.200  0.900  -4.200
-66018.00  -0.100  0.900  -4.600
-65988.00  -0.300  1.000  -5.400
-65958.00  0.200  1.000  -4.600
-65928.00  0.500  1.200  -4.000
-65898.00  0.300  1.400  -3.800
-65868.00  0.100  1.300  -4.600
-65838.00  0.000  1.200  -4.700
-65808.00  0.000  1.300  -4.300
-65778.00  0.100  1.400  -4.200
-65748.00  0.200  1.400  -3.700
-65718.00  0.000  1.200  -4.000
-65688.00  0.300  1.500  -4.600
-65658.00  0.200  1.500  -4.300
